sample	qcpass	fittype	calib_slope	calib_slope_deg	calib_span	calib_linfit_rsquare	calib_linfit_logpval	coef_a	coef_b	coef_c	ci_a	ci_b	ci_c	rsquare	adjrsquare	rmse	f	f_logpval	truncated_genes	median	iqr	iqr_raw	q1	q25	q75	q99
LJP009_A375_24H_X1_B20:L12	1	power	1.97686	63.1673	4.66908	0.973641	7.68832	0.250398	1.6872	-2.98923	-0.98,1.48	-0.03,3.41	-14.22,8.24	0.976575	0.970719	0.486204	166.761	6.52131	1	8.22263	10.387	1.71027	11.4537	85.4111	887.163	18695.3
LJP009_A375_24H_X1_B20:L13	1	power	1.88732	62.0831	4.92094	0.975787	7.85465	0.550296	1.40261	-4.23162	-1.95,3.05	-0.14,2.95	-17.78,9.32	0.977017	0.971271	0.481599	170.042	6.55438	1	8.2548	10.4805	1.79694	12.2674	90.4896	948.372	17454.6
LJP009_A375_24H_X1_B20:L14	1	power	1.84692	61.567	4.94275	0.98341	8.59499	0.549192	1.39662	-3.94904	-1.55,2.65	0.10,2.70	-15.13,7.24	0.984515	0.980643	0.395316	254.307	7.24031	1	8.32324	11.6365	1.91602	12.3491	89.3181	1039.35	20251.8
LJP009_A375_24H_X1_B20:L15	1	power	1.76305	60.4382	5.11568	0.982272	8.46509	0.17526	1.77632	-1.23392	-0.41,0.76	0.59,2.97	-7.39,4.92	0.98664	0.9833	0.367186	295.401	7.49677	2	8.45242	9.96687	1.86457	15.0084	99.335	990.059	19869.7
LJP009_A375_24H_X1_B20:L16	1	power	1.95045	62.8557	4.733	0.972631	7.6146	0.788154	1.29457	-5.4141	-3.28,4.85	-0.44,3.03	-23.46,12.63	0.973232	0.96654	0.519747	145.431	6.28952	1	8.39613	10.5976	1.74491	13.1775	94.3248	999.621	11026
LJP009_A375_24H_X1_B20:L17	1	power	1.86606	61.8137	4.86542	0.982889	8.53443	0.2229	1.70662	-2.29102	-0.60,1.05	0.41,3.00	-10.13,5.55	0.986076	0.982595	0.374855	283.275	7.42495	1	8.26384	10.9135	1.84236	12.8527	90.924	992.298	17438.9
LJP009_A375_24H_X1_B20:L18	1	power	2.05996	64.106	4.44085	0.960677	6.9042	0.123469	1.96521	-1.60731	-0.60,0.84	-0.16,4.09	-11.99,8.77	0.966263	0.957828	0.583496	114.563	5.88756	9	8.13385	13.0622	1.78933	10.6884	81.7282	1067.55	32776
LJP009_A375_24H_X1_B20:L19	1	power	1.71854	59.8054	5.06911	0.992447	10.1343	0.211351	1.69681	-1.5048	-0.23,0.65	0.97,2.42	-5.57,2.56	0.995495	0.994368	0.213232	883.812	9.38504	1	8.34328	9.03646	1.84221	17.4308	99.6562	900.539	10406.6
LJP009_A375_24H_X1_B20:L20	1	power	1.97618	63.1594	4.59758	0.981391	8.37017	0.188591	1.77739	-2.79544	-0.60,0.98	0.32,3.24	-11.71,6.12	0.98473	0.980912	0.392557	257.951	7.26464	1	8.12759	11.3904	1.77889	12.3242	82.8241	943.401	17876.5
LJP009_A375_24H_X1_B20:L21	1	power	1.80407	61.0003	5.11211	0.97379	7.69944	0.23954	1.67473	-1.95518	-0.78,1.26	0.18,3.17	-10.84,6.93	0.977402	0.971753	0.477547	173.008	6.58373	1	8.30062	10.4037	1.86302	13.6054	94.0103	978.053	17083.7
LJP009_A375_24H_X1_B20:L22	1	power	1.7109	59.6943	5.23221	0.975177	7.80593	0.0611948	2.14112	0.280043	-0.16,0.28	0.83,3.45	-4.35,4.91	0.984295	0.980369	0.398106	250.699	7.21587	1	8.23941	8.97486	1.81619	17.15	99.9363	896.915	14650.7
LJP009_A375_24H_X1_B20:L23	1	power	1.99033	63.3237	4.72386	0.956245	6.69468	0.128752	1.92235	-1.91912	-0.63,0.88	-0.18,4.02	-12.79,8.95	0.962154	0.952692	0.618008	101.691	5.68791	2	8.17324	10.7531	1.71778	10.2551	85.045	914.497	24332.2
LJP009_A375_24H_X1_B20:L24	1	power	1.93813	62.7081	4.85595	0.943753	6.20153	0.0212091	2.57416	0.456275	-0.10,0.14	0.40,4.75	-5.80,6.71	0.960864	0.951079	0.628454	98.2064	5.62967	4	8.06167	12.9105	1.86195	11.0165	77.3639	998.804	27131.4
LJP009_A375_24H_X1_B20:M01	1	power	1.73811	60.0865	5.05982	0.987825	9.20048	0.0961967	1.97822	-0.439106	-0.14,0.33	1.11,2.85	-4.13,3.25	0.993736	0.99217	0.251432	634.533	8.81249	1	8.33876	8.15182	1.72765	17.2375	102.719	837.347	9792.04
LJP009_A375_24H_X1_B20:M02	1	power	1.89944	62.2345	4.80913	0.970276	7.45286	0.030068	2.43439	0.290099	-0.09,0.15	0.95,3.92	-4.34,4.92	0.983031	0.978788	0.413823	231.72	7.08134	2	7.96188	9.49675	1.71135	12.5777	78.7488	747.858	17823.6
LJP009_A375_24H_X1_B20:M03	1	power	1.89931	62.2329	4.77081	0.984846	8.77213	0.377962	1.53241	-3.3721	-1.01,1.76	0.26,2.80	-12.84,6.10	0.98665	0.983312	0.367052	295.619	7.49804	2	8.2245	10.1139	1.75991	11.6652	90.7376	917.714	19146.7
LJP009_A375_24H_X1_B20:M04	1	power	1.88332	62.0328	4.8545	0.982808	8.52512	0.408034	1.50652	-3.26063	-1.13,1.95	0.20,2.82	-13.08,6.56	0.984589	0.980736	0.394366	255.554	7.24867	2	8.24873	10.8742	1.82338	12.308	94.6004	1028.7	23889.9
LJP009_A375_24H_X1_B20:M05	1	power	1.78372	60.7239	5.00523	0.981252	8.35553	0.288892	1.60027	-2.45201	-0.80,1.38	0.30,2.91	-11.00,6.10	0.983884	0.979855	0.403282	244.203	7.17099	1	8.25884	9.89972	1.85405	12.7375	92.0828	911.594	13140
LJP009_A375_24H_X1_B20:M06	1	power	1.82127	61.2303	5.03722	0.973357	7.66729	0.111603	1.95028	-0.780491	-0.34,0.56	0.49,3.41	-7.32,5.76	0.979978	0.974973	0.449506	195.781	6.79398	1	8.04666	9.76961	1.80414	12.8524	84.3437	824.004	20931.8
LJP009_A375_24H_X1_B20:M07	1	power	1.89337	62.1588	4.89575	0.976521	7.91496	0.42183	1.48965	-3.93946	-1.51,2.35	-0.07,3.05	-16.53,8.65	0.978208	0.972761	0.46895	179.558	6.64685	1	8.26545	10.7495	1.80892	10.8246	90.7983	976.037	16339.8
LJP009_A375_24H_X1_B20:M08	1	power	1.92992	62.6088	4.81273	0.968321	7.32805	0.155852	1.85417	-1.63239	-0.60,0.91	0.12,3.59	-10.61,7.35	0.973423	0.966779	0.517885	146.508	6.302	3	7.98113	10.8316	1.77224	11.3248	86.7909	940.086	24954.3
LJP009_A375_24H_X1_B20:M09	1	power	1.68709	59.3432	5.3741	0.979036	8.13682	0.135301	1.85269	-0.552714	-0.33,0.60	0.63,3.08	-6.16,5.05	0.984735	0.980919	0.392487	258.045	7.26526	1	8.26702	9.29936	1.89372	16.3173	94.3935	877.799	14520.3
LJP009_A375_24H_X1_B20:M10	1	power	1.86756	61.8328	4.95574	0.976765	7.9354	0.408324	1.49908	-3.51115	-1.38,2.20	-0.01,3.01	-15.14,8.12	0.978606	0.973257	0.464656	182.966	6.67881	1	8.2699	11.3777	1.88111	11.603	83.8126	953.597	18478
LJP009_A375_24H_X1_B20:M11	1	power	1.75703	60.354	5.17522	0.982378	8.47685	0.489185	1.41971	-3.15365	-1.31,2.29	0.16,2.68	-13.05,6.74	0.983765	0.979706	0.404768	242.384	7.15821	1	8.33061	9.52739	1.84862	16.0947	98.0965	934.603	15624.9
LJP009_A375_24H_X1_B20:M12	1	power	1.92782	62.5833	4.85403	0.973604	7.68553	0.94824	1.22808	-6.08966	-3.81,5.71	-0.43,2.88	-25.24,13.07	0.973994	0.967493	0.51229	149.813	6.33973	1	8.2531	11.2599	1.81332	10.7473	88.0653	991.61	17436.8
LJP009_A375_24H_X1_B20:M13	1	power	1.99029	63.3233	4.56641	0.980275	8.25608	1.05328	1.20315	-6.97153	-4.04,6.14	-0.38,2.78	-26.87,12.93	0.980521	0.975652	0.443367	201.352	6.84175	4	8.25212	10.3377	1.69374	9.98856	97.8544	1011.59	20946.4
LJP009_A375_24H_X1_B20:M14	1	power	2.0134	63.5877	4.66857	0.970752	7.4845	0.770356	1.30833	-6.29711	-3.51,5.06	-0.54,3.15	-26.65,14.06	0.971389	0.964236	0.53734	135.806	6.17387	1	8.22451	11.0909	1.72627	10.8856	87.4378	969.76	17354.2
LJP009_A375_24H_X1_B20:M15	1	power	1.89527	62.1826	4.87781	0.970535	7.47002	0.1563	1.83872	-1.75779	-0.57,0.89	0.18,3.50	-10.58,7.06	0.975464	0.96933	0.497609	159.023	6.44076	1	8.21162	10.8029	1.81085	11.7015	83.079	897.492	20505.4
LJP009_A375_24H_X1_B20:M16	1	power	1.70686	59.6352	5.27617	0.981724	8.40545	0.270789	1.61257	-1.73152	-0.68,1.22	0.39,2.84	-9.10,5.63	0.984653	0.980816	0.393547	256.635	7.25589	1	8.51499	8.4096	1.77905	16.5329	118.546	996.922	13853.6
LJP009_A375_24H_X1_B20:M17	1	power	1.70085	59.547	5.21039	0.984872	8.77546	0.105816	1.94314	-0.249429	-0.19,0.40	0.95,2.94	-4.43,3.93	0.990994	0.988742	0.301479	440.13	8.1818	1	8.37986	9.43443	1.87206	17.118	105.517	995.497	15282.2
LJP009_A375_24H_X1_B20:M18	1	power	1.75427	60.3152	5.13628	0.979733	8.20303	0.132134	1.87216	-0.866834	-0.33,0.60	0.61,3.13	-6.80,5.06	0.98518	0.981475	0.386732	265.902	7.31658	1	8.33261	9.22337	1.81227	15.0966	97.8108	902.145	14697.8
LJP009_A375_24H_X1_B20:M19	1	power	1.83588	61.423	4.90486	0.981501	8.38173	0.0908685	2.02268	-0.64087	-0.21,0.39	0.84,3.21	-5.68,4.39	0.988258	0.985322	0.344237	336.652	7.72101	1	8.13601	8.98598	1.71533	13.758	94.5541	849.661	14164
LJP009_A375_24H_X1_B20:M20	1	power	1.88899	62.104	4.83929	0.971302	7.52169	0.041718	2.32658	0.228877	-0.12,0.20	0.87,3.78	-4.55,5.00	0.982691	0.978363	0.417947	227.091	7.04689	3	8.10526	11.0278	1.80956	13.2056	83.4536	920.312	25025.9
LJP009_A375_24H_X1_B20:M21	1	power	1.84592	61.554	4.89777	0.981243	8.3546	0.291714	1.60948	-2.69617	-0.86,1.45	0.23,2.99	-11.89,6.50	0.983714	0.979642	0.405411	241.604	7.1527	1	8.18618	11.0647	1.87951	11.5064	88.1505	975.363	15982.1
LJP009_A375_24H_X1_B20:M22	1	power	1.85253	61.6397	4.89901	0.974371	7.74336	0.0659945	2.13179	-0.553848	-0.21,0.34	0.63,3.63	-6.50,5.39	0.982247	0.977808	0.423275	221.31	7.00288	1	8.29545	10.0071	1.76159	15.2895	99.3387	994.089	19477.3
LJP009_A375_24H_X1_B20:M23	1	power	1.71384	59.7371	5.19973	0.970427	7.46289	0.0219119	2.53091	1.36563	-0.05,0.09	1.29,3.77	-1.76,4.49	0.986478	0.983097	0.369406	291.813	7.47583	2	8.25633	9.41418	1.81388	17.2478	100.526	946.371	19673.4
